No,カテゴリ,スコア難易度,投稿文,正解,解説,返信文,投稿日,投稿時間
26,語彙問題系,700,"一見簡単。でもほとんどの人が引っかかります。

The president's speech was intended to _____ employee morale after the difficult quarter.

(A) boost
(B) raise
(C) lift
(D) increase

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「士気を高める」= boost morale が正しいコロケーション。raise/increase は数値向き。lift morale も使えるが boost が最頻出,"正解は(A) boost！

「士気を高める」= boost morale が正しいコロケーション。raise/increase は数値向き。lift morale も使えるが boost が最頻出

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/16,07:08
27,語彙問題系,800,"TOEIC本番でも出題されるレベルです。

Despite the setbacks, the team _____ to deliver the project on time.

(A) achieved
(B) succeeded
(C) managed
(D) accomplished

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,「なんとか〜することができた」= managed to（+ 動詞原形）。succeeded in + 動名詞と区別。achieved/accomplished は名詞目的語をとる,"正解は(C) managed！

「なんとか〜することができた」= managed to（+ 動詞原形）。succeeded in + 動名詞と区別。achieved/accomplished は名詞目的語をとる

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/17,06:54
28,語彙問題系,700,"即答できたらTOEIC 700点レベルは確実です。

The audit revealed several _____ in the company's financial records.

(A) discrepancies
(B) differences
(C) distinctions
(D) diversities

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「帳簿の不一致・矛盾」= discrepancy（複数形 discrepancies）。difference は一般的な違い。distinction は区別。diversity は多様性,"正解は(A) discrepancies！

「帳簿の不一致・矛盾」= discrepancy（複数形 discrepancies）。difference は一般的な違い。distinction は区別。diversity は多様性

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/18,07:00
29,語彙問題系,800,"本番で必ず出ます。今解いといてください。

The new CEO has been tasked with _____ the company's global expansion strategy.

(A) overseeing
(B) overlooking
(C) overcoming
(D) overruling

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「監督・管理する」= oversee。overlooking は「見落とす・見渡す」（別の意味）。overcoming は克服 overruling は却下,"正解は(A) overseeing！

「監督・管理する」= oversee。overlooking は「見落とす・見渡す」（別の意味）。overcoming は克服 overruling は却下

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/19,06:58
30,語彙問題系,800,"これを知らないままだと、TOEIC 800点で伸び止まります。

The contract will be _____ automatically unless either party gives notice.

(A) renewed
(B) prolonged
(C) extended
(D) maintained

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「自動更新される」= renewed automatically が契約書の標準表現。prolonged/extended は「延長」で意味は近いが renewed が最も正確,"正解は(A) renewed！

「自動更新される」= renewed automatically が契約書の標準表現。prolonged/extended は「延長」で意味は近いが renewed が最も正確

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/20,07:05
31,前置詞・接続詞系,700,"これ解けないとTOEIC800超えは厳しいです。

The proposal was put forward _____ behalf of the entire research team.

(A) in
(B) on
(C) for
(D) by

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「〜を代表して」= on behalf of。固定表現として必ず on を使う。in/for/by behalf of は存在しない,"正解は(B) on！

「〜を代表して」= on behalf of。固定表現として必ず on を使う。in/for/by behalf of は存在しない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/21,06:52
32,前置詞・接続詞系,700,"シンプルに見えて、実は間違える人が多いやつ。

The final report must be submitted no later _____ this Friday.

(A) than
(B) as
(C) like
(D) from

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「遅くとも〜までに」= no later than。固定表現。by no later than という形でも使われる。as/like/from は不可,"正解は(A) than！

「遅くとも〜までに」= no later than。固定表現。by no later than という形でも使われる。as/like/from は不可

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/22,07:03
33,前置詞・接続詞系,800,"TOEIC700点でも間違える人続出の問題です。

_____ all the evidence available, the committee reached a unanimous decision.

(A) Given
(B) Despite
(C) Though
(D) Whereas

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「〜を考慮すると」= Given（名詞句・節を導く前置詞的用法）。Despite は逆接。Though/Whereas は接続詞で節に続く,"正解は(A) Given！

「〜を考慮すると」= Given（名詞句・節を導く前置詞的用法）。Despite は逆接。Though/Whereas は接続詞で節に続く

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/23,06:56
34,前置詞・接続詞系,700,"一見簡単。でもほとんどの人が引っかかります。

The factory will remain closed _____ the maintenance work is completed.

(A) during
(B) while
(C) until
(D) when

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,「完了するまで（閉鎖し続ける）」= until。while は同時進行。during は特定期間中（前置詞）。when は時点,"正解は(C) until！

「完了するまで（閉鎖し続ける）」= until。while は同時進行。during は特定期間中（前置詞）。when は時点

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/24,07:07
35,前置詞・接続詞系,800,"自信ある人ほど引っかかります。

The seminar will proceed _____ the keynote speaker's unexpected cancellation.

(A) regardless of
(B) in spite
(C) although
(D) because of

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「〜にかかわらず」= regardless of（名詞句前置）。in spite は後に of が必要。although は接続詞で節に続く,"正解は(A) regardless of！

「〜にかかわらず」= regardless of（名詞句前置）。in spite は後に of が必要。although は接続詞で節に続く

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/25,06:50
36,前置詞・接続詞系,700,"本当にTOEIC勉強してますか？確認します。

The decline in sales is largely _____ increased competition from overseas markets.

(A) because
(B) owing to
(C) resulting
(D) since

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,名詞句の前に置ける原因表現 owing to が正解。because/since は節（主語＋動詞）に続く接続詞。resulting は resulting from の形が必要,"正解は(B) owing to！

名詞句の前に置ける原因表現 owing to が正解。because/since は節（主語＋動詞）に続く接続詞。resulting は resulting from の形が必要

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/26,07:04
37,前置詞・接続詞系,700,"英語学習者の9割がここで詰まります。

The new agreement is _____ effect as of the first of next month.

(A) on
(B) in
(C) into
(D) to

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「有効である・効力がある」= in effect。come into effect（効力を発する）と混同しやすいが be動詞と組み合わせるのは in,"正解は(B) in！

「有効である・効力がある」= in effect。come into effect（効力を発する）と混同しやすいが be動詞と組み合わせるのは in

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/27,06:55
38,前置詞・接続詞系,900,"これ無理ゲーじゃないですか？

_____ the contract stipulates, all deliverables must be reviewed before shipment.

(A) As
(B) Like
(C) Such as
(D) Just as

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「〜が規定するとおり」= As the contract stipulates。Like は口語・文法的に弱い。Such as は例示。Just as は同時性を示す,"正解は(A) As！

「〜が規定するとおり」= As the contract stipulates。Like は口語・文法的に弱い。Such as は例示。Just as は同時性を示す

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/28,07:01
39,前置詞・接続詞系,700,"TOEIC800点目指すなら絶対に落とせない一問。

The new procedure is _____ line with international safety standards.

(A) at
(B) on
(C) in
(D) by

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,「〜に沿って・一致して」= in line with。固定表現。at/on/by line with はすべて不可,"正解は(C) in！

「〜に沿って・一致して」= in line with。固定表現。at/on/by line with はすべて不可

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/29,06:59
40,前置詞・接続詞系,800,"これ、ぱっと見より難しいです。

The board approved the merger plan, _____ it still required regulatory clearance.

(A) though
(B) however
(C) despite
(D) yet

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,節（it still required...）に続く逆接接続詞 though が正解。however は副詞（文の先頭や中間に置く）。despite は名詞句に続く,"正解は(A) though！

節（it still required...）に続く逆接接続詞 though が正解。however は副詞（文の先頭や中間に置く）。despite は名詞句に続く

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/30,07:09
41,イディオム・コロケーション系,700,"TOEICer の7割が選ぶ不正解、あなたは？

The marketing team needs to _____ a new approach for the upcoming campaign.

(A) come up with
(B) come up to
(C) come in with
(D) come down with

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「（アイデアを）思いつく」= come up with。come up to は「（基準に）達する」。come down with は「病気にかかる」,"正解は(A) come up with！

「（アイデアを）思いつく」= come up with。come up to は「（基準に）達する」。come down with は「病気にかかる」

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/01,06:53
42,イディオム・コロケーション系,800,"TOEIC本番でも出題されるレベルです。

After months of negotiation, both parties _____ a final settlement.

(A) reached
(B) arrived
(C) came
(D) got

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「（合意・和解に）達する」= reached a settlement が正しいコロケーション。arrived at/came to も可だが選択肢の単体では不成立,"正解は(A) reached！

「（合意・和解に）達する」= reached a settlement が正しいコロケーション。arrived at/came to も可だが選択肢の単体では不成立

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/02,07:06
43,イディオム・コロケーション系,700,"3秒で解けたらTOEIC 700点超え確実です。

The company decided to _____ its losses and withdraw from the market.

(A) cut
(B) minimize
(C) reduce
(D) limit

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「損切りして撤退する」= cut one's losses。固定イディオム。minimize/reduce/limit losses は意味は近いが固定表現はcut,"正解は(A) cut！

「損切りして撤退する」= cut one's losses。固定イディオム。minimize/reduce/limit losses は意味は近いが固定表現はcut

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/03,06:51
44,イディオム・コロケーション系,800,"3秒で答えられたらTOEIC 800点レベルです。

The negotiations were _____ when both sides refused to compromise.

(A) called off
(B) put off
(C) held off
(D) set off

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「（交渉が）中止された」= called off。put off は延期。hold off は保留・待機。set off は出発する・引き起こす,"正解は(A) called off！

「（交渉が）中止された」= called off。put off は延期。hold off は保留・待機。set off は出発する・引き起こす

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/04,07:02
45,イディオム・コロケーション系,800,"これ解けないとTOEIC800超えは厳しいです。

The manager _____ the team for completing the project ahead of schedule.

(A) praised
(B) commended
(C) complimented
(D) congratulated

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「公式に称賛・推奨する」= commend（書面・フォーマルな場面）。praise は一般的な褒め言葉。compliment はお世辞的。congratulate は達成のお祝い,"正解は(B) commended！

「公式に称賛・推奨する」= commend（書面・フォーマルな場面）。praise は一般的な褒め言葉。compliment はお世辞的。congratulate は達成のお祝い

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/05,06:57
46,イディオム・コロケーション系,700,"本番で必ず出ます。今解いといてください。

The company is _____ its expansion into Southeast Asian markets.

(A) taking on
(B) pressing ahead with
(C) bringing about
(D) putting forward

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「（困難があっても計画を）推進し続ける」= pressing ahead with。taking on は引き受ける。bringing about は引き起こす。putting forward は提案する,"正解は(B) pressing ahead with！

「（困難があっても計画を）推進し続ける」= pressing ahead with。taking on は引き受ける。bringing about は引き起こす。putting forward は提案する

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/06,07:08
47,イディオム・コロケーション系,900,"TOEIC900点でも一瞬止まる問題です。

The new regulation _____ effect on the first of January.

(A) came into
(B) went into
(C) took into
(D) put into

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「効力を発した」= came into effect。固定表現。went into effect も使われるが came into effect が最も標準的なTOEIC回答,"正解は(A) came into！

「効力を発した」= came into effect。固定表現。went into effect も使われるが came into effect が最も標準的なTOEIC回答

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/07,06:54
48,イディオム・コロケーション系,800,"TOEIC700点でも間違える人続出の問題です。

The legal team advised the board to _____ the proposed acquisition more carefully.

(A) look into
(B) look over
(C) look after
(D) look up

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「詳しく調査する」= look into。look over は大まかに見直す。look after は世話をする。look up は辞書で調べる・上を向く,"正解は(A) look into！

「詳しく調査する」= look into。look over は大まかに見直す。look after は世話をする。look up は辞書で調べる・上を向く

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/08,07:00
49,イディオム・コロケーション系,700,"一見簡単。でもほとんどの人が引っかかります。

We need to _____ on this opportunity before our competitors do.

(A) capitalize
(B) cash
(C) seize
(D) act

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「〜を活用する」= capitalize on。capitalize は必ず on を伴う。cash は cash in on の形が必要。seize/act に on は自然に続かない,"正解は(A) capitalize！

「〜を活用する」= capitalize on。capitalize は必ず on を伴う。cash は cash in on の形が必要。seize/act に on は自然に続かない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/09,06:58
50,イディオム・コロケーション系,700,"知らないとTOEIC 700点から先に進めません。

Before leaving the podium, the chairperson _____ the floor to the next speaker.

(A) gave
(B) handed
(C) passed
(D) transferred

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「発言権を渡す」= give the floor to。固定表現。handed/passed/transferred the floor to は不自然な組み合わせ,"正解は(A) gave！

「発言権を渡す」= give the floor to。固定表現。handed/passed/transferred the floor to は不自然な組み合わせ

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/10,07:05
51,文法総合系,700,"本当にTOEIC勉強してますか？確認します。

The conference room _____ we held last year's meeting is being renovated.

(A) which
(B) where
(C) that
(D) whose

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,場所を表す先行詞 conference room に続く関係副詞 where が正解。which/that は関係代名詞で、このままでは動詞の目的語・主語が欠けてしまう,"正解は(B) where！

場所を表す先行詞 conference room に続く関係副詞 where が正解。which/that は関係代名詞で、このままでは動詞の目的語・主語が欠けてしまう

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/07/11,06:52
